Sanaa Lathan
Aleksa Palladino
Karen Black
Peg O'Keef
Tommy Lee Jones
Samuel L. Jackson
Guy Pearce
Ben Kingsley
Ben Kingsley
Mercedes Ruehl
Matt Weinberg
Jason Fuchs
Harrison Ford
Michelle Pfeiffer
Katharine Towne
Miranda Otto
Martin Lawrence
Danny DeVito
John Leguizamo
Glenne Headly
Vincent D'Onofrio
Janeane Garofalo
Jeanne Tripplehorn
Kevin Pollak
Tom Hanks
Helen Hunt
Paul Sanchez
Lari White
Steve Buscemi
Thora Birch
Scarlett Johansson
Brad Renfro
Samuel L. Jackson
Vanessa Williams
Christian Bale
Jeffrey Wright
Emily Watson
Dermot Mulroney
Nick Nolte
Nathan Lane
Diane Keaton
Meg Ryan
Lisa Kudrow
Walter Matthau
Sam Neill
William H. Macy
Téa Leoni
Alessandro Nivola
Sam Neill
Hugo Weaving
John Cleese
Geoffrey Rush
Michael Laurence
Christa Miller
Stephen Tobolowsky
Brion James
Lisa Denke
Roland Kickinger
William Sadler
Allan Rich
Dante Basco
Eddie Garcia
Jayson Schaal
Brian Card
Todd Field
Craig Sheffer
Daniel Baldwin
Michael T. Weiss
Leonardo DiCaprio
Tilda Swinton
Daniel York
Patcharawan Patarakijjanon
Kim Basinger
Jimmy Smits
Rufus Sewell
Holliston Coleman
Matt Dillon
James Caan
Natascha McElhone
Gérard Depardieu
Kevin Bacon
Elisabeth Shue
Josh Brolin
Kim Dickens
Ben Affleck
Morgan Freeman
Ian Mongrain
Russell Bobbitt
Morgan Freeman
Gene Hackman
Thomas Jane
Monica Bellucci
Morgan Freeman
Michael Wincott
Monica Potter
Dylan Baker
Esai Morales
James Marshall
Yancy Butler
Renee Allman
Martin Donovan
Anthony Arkin
Marla Sucharetza
Mary-Louise Parker
Gérard Depardieu
Guillaume Canet
Inés Sastre
André Dussollier
Kimberley Kates
Jared Leto
Jake Gyllenhaal
Selma Blair
Christina Applegate
Justin Lazard
Johnathon Schaech
Moon Unit Zappa
James Marsden
Gary Oldman
Kurt Russell
Matthew Edison
Jet Li
Aaliyah
Isaiah Washington
Russell Wong
Brad Pitt
Catherine Zeta-Jones
Joseph Fiennes
Michelle Pfeiffer
Snoop Dogg
Pam Grier
Michael T. Weiss
Clifton Powell
Billy Bob Thornton
Laura Dern
Diane Ladd
Kelly Preston
Brendan Fraser
Bridget Fonda
John Turturro
Chris Kattan
Peter Coyote
David W. Akin
Jeff Ferris
Craig Hochstein
Matt Damon
James Cromwell
Daniel Studi
Chopper Bernet
Burt Young
John Gigante
Marrielle Monte
Gerald Orange
Brent Roam
Shawn Woods
Christopher Bersh
Kiefer Sutherland
Ron Perlman
Doug Jones
Selma Blair
John Hurt
Kim Basinger
Vincent Perez
Liam Aiken
Garrett Strommen
Elijah Wood
Viggo Mortensen
Ian McKellen
Orlando Bloom
Elijah Wood
Ian McKellen
Viggo Mortensen
Orlando Bloom
Alex D. Linz
William Atherton
James Woods
Annabeth Gish
Stellan Skarsgård
Lena Headey
Jean Johansson
Charlotte Rampling
Björk
Catherine Deneuve
David Morse
Peter Stormare
Denzel Washington
Derek Luke
Joy Bryant
Malcolm David Kelley
Aamir Khan
Raghuvir Yadav
Gracy Singh
Rachel Shelley
Megan Ward
Kristin Minter
Linden Ashby
John Ratzenberger
Jim Carrey
Taylor Momsen
Kelley
Jeffrey Tambor
Kathleen Turner
Danny Aiello
Cathy Moriarty
Frankie Nasso
Colin Farrell
Matthew Davis
Clifton Collins Jr.
Tom Guiry
Liam Neeson
Sandra Bullock
Oliver Platt
José Zúñiga
Ethan Hawke
Kyle MacLachlan
Diane Venora
Sam Shepard
Ben Stiller
Edward Norton
Jenna Elfman
Anne Bancroft
Renée Zellweger
Morgan Freeman
Chris Rock
Greg Kinnear
Will Smith
Martin Lawrence
Gabrielle Union
Jordi Mollà
Richard Thomas
Maureen McCormick
C. Thomas Howell
Corey Feldman
Russell Crowe
Joaquin Phoenix
Connie Nielsen
Oliver Reed
Ian Holm
Stanley Tucci
Hope Davis
Sarah Hyland
Kyra Sedgwick
Rob Morrow
Lela Rochon
Mary Tyler Moore
Melanie Griffith
Stephen Dorff
Alicia Witt
Adrian Grenier
Alec Baldwin
Steve Buscemi
Ming-Na Wen
Ving Rhames
Amanda Peet
Brian Van Holt
Jonathan Abrahams
Zorie Barber
Richard Gere
Winona Ryder
Anthony LaPaglia
Elaine Stritch
Anna Faris
Jon Abrahams
Marlon Wayans
Carmen Electra
Brittany Murphy
Jay Mohr
Michael Biehn
Jesse Bradford
Eric Roberts
John Ritter
Rachel Hunter
Tyler Cole Malinger
Gary Daniels
Mike Norris
Bentley Mitchum
John Rhys-Davies
James Marsden
Lena Headey
Norman Reedus
Kate Hudson
Todd Emerson
Christopher Lloyd
Blake Foster
Michael Purvis
Eamonn Walker
Laurence Fishburne
Gregory Hines
Michael Paul Chan
Kylie Minogue
Ben Mendelsohn
Simon Lyndon
David Field
Douglas McGrath
Sigourney Weaver
Paul Guilfoyle
Jeffrey Jones
Toni Collette
Daniel Craig
Katrin Cartlidge
Stephen Tompkinson
Corin Nemec
David Faustino
Danielle Harris
Caroline Keenan
Cliff Gorman
John Leguizamo
Rosie Perez
Julie Carmen
George Clooney
Mark Wahlberg
John C. Reilly
Diane Lane
Shawnee Free Jones
Seymour Cassel
Sally Kellerman
James Farentino
Mackenzie Astin
Todd Field
Dina Meyer
Natasha Gregson Wagner
Simon Baker
Anna Friel
Nick Stahl
Rory Cochrane
Jordana Brewster
Cameron Diaz
Christopher Eccleston
Blythe Danner
Jake Gyllenhaal
Dustin Hoffman
Susan Sarandon
Alexia Landeau
Jennifer Esposito
Nick Moran
Stephen Lang
William B. Davis
Billy Bob Thornton
Luke Askew
Dwight Yoakam
Vince Vaughn
Robert De Niro
Edward Burns
Kelsey Grammer
Avery Brooks
Rick Stear
Ed Setrakian
Joseph D'Onofrio
Paige Turco
Julie Carmen
Frank Gorshin
Scott Edmund Lane
David Proval
Sean Astin
Bruce Campbell
Stacy Keach
Suzanne Turner
Tom Arnold
William McNamara
Lori Heuring
Randall Batinkoff
Eddie Murphy
Jay Mohr
Randy Quaid
Rosario Dawson
Geoffrey Rush
Kate Winslet
Joaquin Phoenix
Michael Caine
Ellen Burstyn
Jared Leto
Jennifer Connelly
Marlon Wayans
Jeff Daniels
Harve Presnell
Joey Albright
Wayne David Parker
Ernie Hudson
Robin Givens
Debbie Allen
Lou Rawls
Garry Shandling
Annette Bening
John Goodman
Greg Kinnear
John Lynch
Ian Bannen
Jerome Flynn
Ian Hart
Sean Connery
Rob Brown
F. Murray Abraham
Anna Paquin
Tom Cruise
Colin Farrell
Samantha Morton
Max von Sydow
Laurence Fishburne
Chris Rock
David Hyde Pierce
Brandy Norwood
Rob Lowe
Thomas Haden Church
Paget Brewster
Jordan Ladd
Arnold Schwarzenegger
Nick Stahl
Kristanna Loken
Claire Danes
Michael Douglas
Benicio Del Toro
Catherine Zeta-Jones
Jacob Vargas
Billy Crudup
Patrick Fugit
Kate Hudson
Frances McDormand
Giovanni Ribisi
Vin Diesel
Nia Long
Nicky Katt
Samuel L. Jackson
Colm Feore
Ann Magnuson
Damir Andrei
Sunda Croonquist
Brad Grunberg
Judd Nelson
Seymour Cassel
Alessandro Nivola
Alicia Silverstone
Natascha McElhone
Kenneth Branagh
Ed Lauter
Peter Greene
Justine Miceli
Charlie Mattera
James Coburn
Costas Mandylor
Finola Hughes
Alex Hyde-White
Glenn Plummer
Terrence Howard
Clyde Risley Jones
Charles R. Penland
Jim Carrey
Renée Zellweger
Anthony Anderson
Mongo Brownlee
Tim Robbins
Gary Sinise
Don Cheadle
Connie Nielsen
Sinéad Cusack
Sam Neill
Matthew Newton
Rose Byrne
Craig Sheffer
Patsy Kensit
Richard Chamberlain
Daniel Riordan
Colin Farrell
Kiefer Sutherland
Forest Whitaker
Radha Mitchell
Ed Harris
Marcia Gay Harden
Robert Knott
Molly Regan
Heath Ledger
Mark Addy
Rufus Sewell
Shannyn Sossamon
Vincent D'Onofrio
Matthew Lillard
Valeria Golino
Mark Boone Junior
Samy Naceri
Frédéric Diefenthal
Emma Wiklund
Marion Cotillard
Mariam Parris
David Ackert
Shaun Toub
Shohreh Aghdashloo
Mekhi Phifer
Julia Stiles
Martin Sheen
Josh Hartnett
Ben Affleck
Gary Sinise
Charlize Theron
James Frain
Jackie Chan
Owen Wilson
Lucy Liu
Brandon Merrill
Chevy Chase
Mark Webber
Schuyler Fisk
Chris Elliott
Angela Bassett
Joanna Lumley
Anne Archer
Debi Derryberry
Michael Douglas
Tobey Maguire
Frances McDormand
Robert Downey Jr.
John Travolta
Forest Whitaker
Barry Pepper
Kim Coates
Adam Sandler
Patricia Arquette
Harvey Keitel
Rhys Ifans
Danny DeVito
Bette Midler
Neve Campbell
Jamie Lee Curtis
Dennis Quaid
Jim Caviezel
Shawn Doyle
Elizabeth Mitchell
Bill Pullman
Devon Sawa
Gabrielle Anwar
Angela Featherstone
Kiefer Sutherland
Marcus Thomas
Daryl Hannah
Pete Postlethwaite
Richard Grieco
Andrew Dice Clay
Angie Everhart
John Enos III
Lynn Redgrave
Jamey Sheridan
Harry Connick Jr.
Cindy Crawford
Clint Eastwood
Tommy Lee Jones
Donald Sutherland
James Garner
Marla Sokoloff
Marley Shelton
Melissa George
Mena Suvari
Devon Gummersall
Eion Bailey
Arly Jover
Leslie Bibb
Ben Affleck
Gwyneth Paltrow
Natasha Henstridge
Edward Edwards
Freddie Prinze Jr.
Julia Stiles
Selma Blair
Shawn Hatosy
Mel Gibson
Heath Ledger
Joely Richardson
Jason Isaacs
Piper Perabo
Jane McGregor
Michael McKean
Trent Ford
Alicia Witt
Harvey Fierstein
Brooke Langton
Johnny Galecki
Wesley Snipes
Kris Kristofferson
Ron Perlman
Leonor Varela
William Baldwin
Brigitte Bako
Lee Majors
Vincent Castellanos
Melissa Leo
Sam Trammell
David Wheir
Stephen Pearlman
Til Schweiger
Claire Forlani
Fabrizio Bentivoglio
Alan Arkin
Rachel Griffiths
Jonathan Pryce
Ioan Gruffudd
Matthew Rhys
Jimmy Smits
Maria del Mar
Jon Seda
Clifton Collins Jr.
Nicole Kidman
Vincent Cassel
Ben Chaplin
Mathieu Kassovitz
Jean Reno
Christina Applegate
Christian Clavier
Matt Ross
Mark Belasco
Darrin Browne
Stephen Sherman
Michael Weston
Jaime Gomez
Seidy Lopez
Zach Galligan
Troy Winbush
John Malkovich
Willem Dafoe
Udo Kier
Cary Elwes
Catalina Larranaga
Bobby Johnston
Shyra Deland
Kira Reed Lorsch
Bruce Willis
Matthew Perry
Rosanna Arquette
Michael Clarke Duncan
Justin Whalin
Jeremy Irons
Zoe McLellan
Bruce Payne
George Clooney
John Turturro
Tim Blake Nelson
John Goodman
Michael Vartan
Norman Reedus
Kari Wuhrer
Marshall Bell
Gérard Depardieu
Uma Thurman
Tim Roth
Julian Glover
Scott Glenn
Chris O'Donnell
Bill Paxton
Robin Tunney
John Hannah
Famke Janssen
Peter Stormare
Eddie Izzard
Taye Diggs
Dominique Swain
Mia Kirshner
Meredith Monroe
Cuba Gooding Jr.
Beyoncé
Mike Epps
Nigel Washington
Adam Beach
Jürgen Prochnow
Rose McGowan
Callum Keith Rennie
Keanu Reeves
Gene Hackman
Brooke Langton
Orlando Jones
Sandra Bullock
Viggo Mortensen
Dominic West
Elizabeth Perkins
Charlie Creed-Miles
Sean Bean
